Propensity_Decile,Control,Treatment,Absolute_Uplift,Relative_Uplift_%
1,0.00732,0.00904,0.0017199999999999993,23.49726775956283
2,0.00584,0.00712,0.0012799999999999999,21.91780821917808
3,0.00612,0.00832,0.0021999999999999997,35.947712418300654
4,0.00604,0.0076,0.0015599999999999998,25.827814569536418
5,0.00492,0.00796,0.00304,61.78861788617886
6,0.00532,0.00696,0.00164,30.82706766917293
7,0.004880195207808313,0.006080243209728389,0.0012000480019200765,24.590163934426222
8,0.004159833606655733,0.005719771209151634,0.0015599376024959003,37.50000000000001
9,0.00396,0.00568,0.0017200000000000002,43.43434343434344
10,0.003,0.00608,0.0030800000000000003,102.66666666666669
