Feature,Mutual Information,Chi2 Score,P-value,Importance
self_dealer_status,,6.5054376570094865,0.010754508987285865,6.5054376570094865
plan,,3.690676272915504,0.05471742648849821,3.690676272915504
Dealing_Zone,,1.4125921571220197,0.2346265566410841,1.4125921571220197
Vertical,,0.06940389360877208,0.7922066951514151,0.06940389360877208
never_traded,0.06539220711691718,,,0.06539220711691718
recency,0.046386081479365515,,,0.046386081479365515
ord_derv_log,0.016212086821833727,,,0.016212086821833727
ord_cash_log,0.01370280293328463,,,0.01370280293328463
current_age,0.0025223072472750907,,,0.0025223072472750907
ord_comm_log,0.0018789172400769383,,,0.0018789172400769383
Number_of_competition_account,0.0008506248207766909,,,0.0008506248207766909
vintage_months,0.0006828764448190139,,,0.0006828764448190139
ord_curr_log,0.00014523402489585724,,,0.00014523402489585724
Category_Bucket_final,,5.518857674474171e-05,0.9940726487502027,5.518857674474171e-05
MTF_taken,0.0,,,0.0
DP_Value_log,0.0,,,0.0
Total_Margin_log,0.0,,,0.0
