iter	Passed	Remaining
0	384	117513
1	569	86894
2	788	79851
3	991	75108
4	1221	73801
5	1355	67993
6	1581	67787
7	1800	67286
8	2021	66948
9	2245	66705
10	2500	67299
11	2737	67301
12	2878	65101
13	3128	65471
14	3376	65734
15	3574	65011
16	3824	65238
17	3959	63576
18	4081	61859
19	4265	61212
20	4436	60421
21	4696	60847
22	4872	60160
23	5125	60441
24	5331	60142
25	5589	60408
26	5755	59690
27	5997	59762
28	6260	60016
29	6502	60041
30	6627	59004
31	6744	57957
32	6995	58079
33	7350	59018
34	7470	58053
35	7690	57892
36	7978	58219
37	8315	58864
38	8635	59341
39	8941	59682
40	9238	59938
41	9507	59988
42	9808	60221
43	10145	60642
44	10612	61787
45	10992	62372
46	11345	62760
47	11647	62846
48	11884	62577
49	12118	62290
50	12293	61710
51	12608	61829
52	12890	61776
53	13000	60908
54	13276	60829
55	13554	60753
56	13670	59957
57	13945	59868
58	14271	59990
59	14376	59183
60	14557	58708
61	14836	58629
62	14936	57847
63	15169	57596
64	15436	57470
65	15718	57396
66	15967	57196
67	16075	56501
68	16384	56515
69	16671	56444
70	16812	55885
71	16972	55396
72	17253	55304
73	17480	55040
74	17656	54618
75	17871	54321
76	17974	53690
77	18178	53370
78	18288	52782
79	18517	52544
80	18610	51924
81	18770	51504
82	19003	51287
83	19244	51089
84	19485	50890
85	19643	50480
86	19744	49927
87	19895	49511
88	20130	49308
89	20338	49038
90	20538	48750
91	20665	48294
92	20899	48091
93	21147	47918
94	21368	47686
95	21630	47543
96	21873	47353
97	21978	46873
98	22207	46657
99	22452	46475
100	22737	46375
101	22945	46115
102	23183	45917
103	23421	45716
104	23667	45531
105	23934	45384
106	24294	45409
107	24541	45219
108	24818	45083
109	25182	45099
110	25473	44979
111	25738	44811
112	25974	44593
113	26251	44443
114	26525	44286
115	26759	44061
116	27031	43897
117	27252	43650
118	27494	43436
119	27715	43190
120	27918	42916
121	28193	42751
122	28438	42541
123	28672	42315
124	28916	42102
125	29128	41842
126	29339	41582
127	29576	41360
128	29819	41145
129	30075	40949
130	30305	40716
131	30570	40528
132	30812	40310
133	31073	40117
134	31283	39857
135	31466	39564
136	31685	39318
137	31931	39104
138	32143	38849
139	32420	38672
140	32607	38388
141	32790	38101
142	33021	37870
143	33215	37598
144	33387	37301
145	33646	37103
146	33848	36842
147	34063	36595
148	34318	36391
149	34524	36135
150	34754	35905
151	35037	35729
152	35302	35532
153	35537	35306
154	35785	35092
155	36021	34866
156	36219	34604
157	36413	34339
158	36657	34121
159	36848	33854
160	37096	33640
161	37414	33488
162	37702	33307
163	38000	33134
164	38217	32889
165	38461	32669
166	38710	32451
167	38969	32242
168	39197	32007
169	39434	31779
170	39685	31562
171	39860	31285
172	40096	31057
173	40358	30848
174	40563	30596
175	40832	30392
176	41120	30201
177	41400	30004
178	41600	29747
179	41826	29510
180	42092	29301
181	42348	29085
182	42550	28831
183	42767	28589
184	43006	28360
185	43184	28092
186	43484	27904
187	43712	27668
188	43940	27433
189	44168	27198
190	44442	26991
191	44697	26771
192	44932	26540
193	45137	26291
194	45401	26076
195	45593	25820
196	45828	25589
197	46089	25372
198	46376	25169
199	46620	24942
200	46812	24687
201	47065	24464
202	47350	24258
203	47657	24062
204	47914	23840
205	48178	23621
206	48441	23401
207	48623	23142
208	48852	22906
209	49197	22724
210	49459	22502
211	49701	22271
212	49941	22039
213	50228	21828
214	50588	21647
215	50825	21412
216	51052	21173
217	51310	20947
218	51578	20725
219	51841	20500
220	52091	20270
221	52401	20063
222	52663	19837
223	52894	19599
224	53138	19366
225	53433	19151
226	53650	18907
227	53889	18672
228	54095	18425
229	54346	18194
230	54679	17989
231	54944	17762
232	55194	17529
233	55481	17308
234	55718	17071
235	56007	16849
236	56308	16631
237	56554	16395
238	56841	16172
239	57140	15951
240	57535	15756
241	57846	15537
242	58217	15332
243	58590	15127
244	58911	14908
245	59217	14683
246	59476	14447
247	59686	14199
248	59976	13970
249	60211	13728
250	60543	13507
251	60784	13266
252	60999	13019
253	61269	12784
254	61559	12553
255	61827	12317
256	62099	12081
257	62393	11849
258	62668	11614
259	62977	11384
260	63284	11153
261	63604	10924
262	63869	10685
263	64119	10443
264	64453	10215
265	64763	9982
266	65062	9747
267	65367	9512
268	65648	9273
269	65933	9035
270	66221	8796
271	66527	8560
272	66768	8315
273	67005	8069
274	67263	7827
275	67567	7589
276	67798	7342
277	68028	7096
278	68266	6851
279	68541	6609
280	68827	6368
281	69087	6124
282	69308	5877
283	69561	5633
284	69767	5385
285	70029	5142
286	70291	4898
287	70568	4655
288	70823	4411
289	71059	4165
290	71407	3926
291	71736	3685
292	71974	3439
293	72222	3193
294	72505	2949
295	72795	2705
296	73087	2460
297	73302	2213
298	73595	1969
299	73817	1722
300	74060	1476
301	74366	1231
302	74662	985
303	74913	739
304	75187	493
305	75440	246
306	75710	0
